score,n_estimater,criteria,max_feture ,Random_state
0.8061328769802288,54,friedman_mse,,96
0.7675995924783839,55,friedman_mse,,95
0.7548294602413008,55,squared_error,,95
0.8139686588477232,56,squared_error,,94
0.8097037388242379,56,friedman_mse,,94
0.7911661041639217,57,friedman_mse,,93
0.7672029592176005,58,squared_error,,92
0.7659525678996821,58,friedman_mse,,92
0.7614523045429129,59,friedman_mse,,91
0.7854024747030831,57,squared_error,,93
0.7585058336180572,59,squared_error,,91
0.7631955517514742,61,friedman_mse,,89
0.7766594442521846,60,squared_error,,90
0.7818735965019954,60,friedman_mse,,90
0.7627283348750056,61,squared_error,,89
0.7772691513567773,62,squared_error,,88
0.7891653459874792,63,squared_error,,87
0.7858161563644134,63,friedman_mse,,87
0.731275594064775,65,friedman_mse,,85
0.7742361656030746,62,friedman_mse,,88
0.7280622832517519,65,squared_error,,85
0.7367595650928138,66,friedman_mse,,84
0.7941999742563338,64,squared_error,,86
0.7919957178751926,64,friedman_mse,,86
0.7413873270014729,66,squared_error,,84
0.7849913877829744,67,friedman_mse,,83
0.7822920207922653,67,squared_error,,83
0.7689194253496436,70,squared_error,,80
0.7521491266580301,69,friedman_mse,,81
0.7735392625079673,68,friedman_mse,,82
0.77084245433489,68,squared_error,,82
0.7533396591164117,69,squared_error,,81
0.7790183007315326,71,squared_error,,79
0.7749618891775626,71,friedman_mse,,79
0.7658814155733623,70,friedman_mse,,80
0.7406913864306166,72,squared_error,,78
0.7345508075239978,72,friedman_mse,,78
0.8067782908791481,73,friedman_mse,,77
0.7401333139308632,74,squared_error,,76
0.8069006694409085,73,squared_error,,77
0.771208745957557,75,squared_error,,75
0.7328239744026832,74,friedman_mse,,76
0.7500818285442217,76,squared_error,,74
0.7755495646650286,75,friedman_mse,,75
0.7526726729806613,76,friedman_mse,,74
0.7458487567284922,50,absolute_error,log2,100
0.7603769874350854,78,squared_error,,72
0.7543923313413775,78,friedman_mse,,72
0.7599812228052978,77,squared_error,,73
0.7560106319747792,77,friedman_mse,,73
0.7465759845928084,50,absolute_error,sqrt,100
0.7932095710225846,80,friedman_mse,,70
0.790030169587684,80,squared_error,,70
0.7853768043016318,79,squared_error,,71
0.7828781784743071,79,friedman_mse,,71
0.759211924367867,51,absolute_error,sqrt,99
0.7875013919701003,81,squared_error,,69
0.7873455820176722,81,friedman_mse,,69
0.7626040361956744,52,absolute_error,sqrt,98
0.7620735739910205,51,absolute_error,log2,99
0.7598152382764691,52,absolute_error,log2,98
0.7529904725578191,83,friedman_mse,,67
0.749551462147742,83,squared_error,,67
0.7755381924516407,82,squared_error,,68
0.7789561049806581,82,friedman_mse,,68
0.7712924359379059,53,absolute_error,log2,97
0.7624944316516965,84,squared_error,,66
0.7684443674503803,53,absolute_error,sqrt,97
0.7317755285453023,88,squared_error,,62
0.7827360259523978,85,friedman_mse,,65
0.7627247372475912,84,friedman_mse,,66
0.8181711854103219,54,absolute_error,log2,96
0.7625259824313302,86,friedman_mse,,64
0.820268454608328,54,absolute_error,sqrt,96
0.7825844961699441,85,squared_error,,65
0.7335718531382172,88,friedman_mse,,62
0.7451486900104702,87,friedman_mse,,63
0.7804762934657621,55,absolute_error,sqrt,95
0.7559678995109804,86,squared_error,,64
0.7717161345215595,55,absolute_error,log2,95
0.7351707464007842,87,squared_error,,63
0.8055870732310481,56,absolute_error,log2,94
0.8059529027874168,56,absolute_error,sqrt,94
0.7712594084254604,89,friedman_mse,,61
0.7865383363935708,57,absolute_error,log2,93
0.7743451762094193,89,squared_error,,61
0.7485443249189271,90,squared_error,,60
0.76963890680479,58,absolute_error,sqrt,92
0.7517978912263754,90,friedman_mse,,60
0.7880903023247197,91,squared_error,,59
0.7686055338733255,58,absolute_error,log2,92
0.7742320406510657,92,squared_error,,58
0.784244373588599,57,absolute_error,sqrt,93
0.7809877820253842,59,absolute_error,log2,91
0.7910550050064293,91,friedman_mse,,59
0.7870684820443264,93,squared_error,,57
0.7703333625722362,92,friedman_mse,,58
0.7819858245476257,60,absolute_error,sqrt,90
0.7888628428713081,93,friedman_mse,,57
0.7745627806167035,62,absolute_error,sqrt,88
0.7696619088523345,95,friedman_mse,,55
0.7653967587004171,96,squared_error,,54
0.7744667736618468,95,squared_error,,55
0.7730334639887219,96,friedman_mse,,54
0.7859497263495188,61,absolute_error,log2,89
0.7763273129714656,59,absolute_error,sqrt,91
0.7978024665135185,94,friedman_mse,,56
0.7819299994094645,60,absolute_error,log2,90
0.7290858672648532,98,friedman_mse,,52
0.7620167272544189,97,friedman_mse,,53
0.7949820311293354,94,squared_error,,56
0.7590735208412432,97,squared_error,,53
0.7776647758193366,99,friedman_mse,,51
0.7223630030651783,98,squared_error,,52
0.781872079986558,61,absolute_error,sqrt,89
0.7971693156818688,63,absolute_error,sqrt,87
0.79863753412065,63,absolute_error,log2,87
0.7798052809426409,99,squared_error,,51
0.7760981307566684,62,absolute_error,log2,88
0.7928189927684229,100,friedman_mse,,50
0.7965704175030345,100,squared_error,,50
0.7436244104993486,65,absolute_error,log2,85
0.7985570195996556,64,absolute_error,sqrt,86
0.7286000616801834,66,absolute_error,log2,84
0.8054098154383597,64,absolute_error,log2,86
0.7302031965377249,66,absolute_error,sqrt,84
0.7366290537325177,65,absolute_error,sqrt,85
0.7848313967457095,67,absolute_error,log2,83
0.7831869111476856,67,absolute_error,sqrt,83
0.7748901474677652,68,absolute_error,sqrt,82
0.7730012433161835,68,absolute_error,log2,82
0.7550656823953945,69,absolute_error,log2,81
0.753652047610813,69,absolute_error,sqrt,81
0.7873262258274917,70,absolute_error,log2,80
0.7827801680856368,71,absolute_error,log2,79
0.7869235221996056,70,absolute_error,sqrt,80
0.7829012420619832,71,absolute_error,sqrt,79
0.738056294860469,72,absolute_error,log2,78
0.7371785773003907,72,absolute_error,sqrt,78
0.8064790021735464,73,absolute_error,log2,77
0.804567897562465,73,absolute_error,sqrt,77
0.7559702240031797,74,absolute_error,sqrt,76
0.7521553141983452,74,absolute_error,log2,76
0.7852395317841887,75,absolute_error,sqrt,75
0.7848714377640751,75,absolute_error,log2,75
0.765279023109499,76,absolute_error,sqrt,74
0.7733409273415669,78,absolute_error,sqrt,72
0.7637856960746496,76,absolute_error,log2,74
0.7723533928924977,78,absolute_error,log2,72
0.7954215991159184,80,absolute_error,sqrt,70
0.7660200375970924,77,absolute_error,log2,73
0.7645810133415765,77,absolute_error,sqrt,73
